Name,Height,Weight,Base Experience,Abilities,Types,HP,Attack,Defense,Special Attack,Special Defense,Speed
Shiftry,13,596,216,"['chlorophyll', 'wind-rider', 'pickpocket']","['grass', 'dark']",90,100,60,90,60,80
Taillow,3,23,54,"['guts', 'scrappy']","['normal', 'flying']",40,55,30,30,30,85
Swellow,7,198,159,"['guts', 'scrappy']","['normal', 'flying']",60,85,60,75,50,125
Wingull,6,95,54,"['keen-eye', 'hydration', 'rain-dish']","['water', 'flying']",40,30,30,55,30,85
Pelipper,12,280,154,"['keen-eye', 'drizzle', 'rain-dish']","['water', 'flying']",60,50,100,95,70,65
Ralts,4,66,40,"['synchronize', 'trace', 'telepathy']","['psychic', 'fairy']",28,25,25,45,35,40
Kirlia,8,202,97,"['synchronize', 'trace', 'telepathy']","['psychic', 'fairy']",38,35,35,65,55,50
Gardevoir,16,484,233,"['synchronize', 'trace', 'telepathy']","['psychic', 'fairy']",68,65,65,125,115,80
Surskit,5,17,54,"['swift-swim', 'rain-dish']","['bug', 'water']",40,30,32,50,52,65
Masquerain,8,36,159,"['intimidate', 'unnerve']","['bug', 'flying']",70,60,62,100,82,80
Shroomish,4,45,59,"['effect-spore', 'poison-heal', 'quick-feet']",['grass'],60,40,60,40,60,35
Breloom,12,392,161,"['effect-spore', 'poison-heal', 'technician']","['grass', 'fighting']",60,130,80,60,60,70
Slakoth,8,240,56,['truant'],['normal'],60,60,60,35,35,30
Vigoroth,14,465,154,['vital-spirit'],['normal'],80,80,80,55,55,90
Slaking,20,1305,252,['truant'],['normal'],150,160,100,95,65,100
Nincada,5,55,53,"['compound-eyes', 'run-away']","['bug', 'ground']",31,45,90,30,30,40
Ninjask,8,120,160,"['speed-boost', 'infiltrator']","['bug', 'flying']",61,90,45,50,50,160
Shedinja,8,12,83,['wonder-guard'],"['bug', 'ghost']",1,90,45,30,30,40
Whismur,6,163,48,"['soundproof', 'rattled']",['normal'],64,51,23,51,23,28
Loudred,10,405,126,"['soundproof', 'scrappy']",['normal'],84,71,43,71,43,48
Exploud,15,840,221,"['soundproof', 'scrappy']",['normal'],104,91,63,91,73,68
Makuhita,10,864,47,"['thick-fat', 'guts', 'sheer-force']",['fighting'],72,60,30,20,30,25
Hariyama,23,2538,166,"['thick-fat', 'guts', 'sheer-force']",['fighting'],144,120,60,40,60,50
Azurill,2,20,38,"['thick-fat', 'huge-power', 'sap-sipper']","['normal', 'fairy']",50,20,40,20,40,20
Nosepass,10,970,75,"['sturdy', 'magnet-pull', 'sand-force']",['rock'],30,45,135,45,90,30
Skitty,6,110,52,"['cute-charm', 'normalize', 'wonder-skin']",['normal'],50,45,45,35,35,50
Delcatty,11,326,140,"['cute-charm', 'normalize', 'wonder-skin']",['normal'],70,65,65,55,55,90
Sableye,5,110,133,"['keen-eye', 'stall', 'prankster']","['dark', 'ghost']",50,75,75,65,65,50
Mawile,6,115,133,"['hyper-cutter', 'intimidate', 'sheer-force']","['steel', 'fairy']",50,85,85,55,55,50
Aron,4,600,66,"['sturdy', 'rock-head', 'heavy-metal']","['steel', 'rock']",50,70,100,40,40,30
Lairon,9,1200,151,"['sturdy', 'rock-head', 'heavy-metal']","['steel', 'rock']",60,90,140,50,50,40
Aggron,21,3600,239,"['sturdy', 'rock-head', 'heavy-metal']","['steel', 'rock']",70,110,180,60,60,50
Meditite,6,112,56,"['pure-power', 'telepathy']","['fighting', 'psychic']",30,40,55,40,55,60
Medicham,13,315,144,"['pure-power', 'telepathy']","['fighting', 'psychic']",60,60,75,60,75,80
Electrike,6,152,59,"['static', 'lightning-rod', 'minus']",['electric'],40,45,40,65,40,65
Manectric,15,402,166,"['static', 'lightning-rod', 'minus']",['electric'],70,75,60,105,60,105
Plusle,4,42,142,"['plus', 'lightning-rod']",['electric'],60,50,40,85,75,95
Minun,4,42,142,"['minus', 'volt-absorb']",['electric'],60,40,50,75,85,95
Volbeat,7,177,151,"['illuminate', 'swarm', 'prankster']",['bug'],65,73,75,47,85,85
Illumise,6,177,151,"['oblivious', 'tinted-lens', 'prankster']",['bug'],65,47,75,73,85,85
Roselia,3,20,140,"['natural-cure', 'poison-point', 'leaf-guard']","['grass', 'poison']",50,60,45,100,80,65
Gulpin,4,103,60,"['liquid-ooze', 'sticky-hold', 'gluttony']",['poison'],70,43,53,43,53,40
Swalot,17,800,163,"['liquid-ooze', 'sticky-hold', 'gluttony']",['poison'],100,73,83,73,83,55
Carvanha,8,208,61,"['rough-skin', 'speed-boost']","['water', 'dark']",45,90,20,65,20,65
Sharpedo,18,888,161,"['rough-skin', 'speed-boost']","['water', 'dark']",70,120,40,95,40,95
Wailmer,20,1300,80,"['water-veil', 'oblivious', 'pressure']",['water'],130,70,35,70,35,60
Wailord,145,3980,175,"['water-veil', 'oblivious', 'pressure']",['water'],170,90,45,90,45,60
Numel,7,240,61,"['oblivious', 'simple', 'own-tempo']","['fire', 'ground']",60,60,40,65,45,35
Camerupt,19,2200,161,"['magma-armor', 'solid-rock', 'anger-point']","['fire', 'ground']",70,100,70,105,75,40
Torkoal,5,804,165,"['white-smoke', 'drought', 'shell-armor']",['fire'],70,85,140,85,70,20
Spoink,7,306,66,"['thick-fat', 'own-tempo', 'gluttony']",['psychic'],60,25,35,70,80,60
Grumpig,9,715,165,"['thick-fat', 'own-tempo', 'gluttony']",['psychic'],80,45,65,90,110,80
Spinda,11,50,126,"['own-tempo', 'tangled-feet', 'contrary']",['normal'],60,60,60,60,60,60
Trapinch,7,150,58,"['hyper-cutter', 'arena-trap', 'sheer-force']",['ground'],45,100,45,45,45,10
Vibrava,11,153,119,['levitate'],"['ground', 'dragon']",50,70,50,50,50,70
Flygon,20,820,234,['levitate'],"['ground', 'dragon']",80,100,80,80,80,100
Cacnea,4,513,67,"['sand-veil', 'water-absorb']",['grass'],50,85,40,85,40,35
Cacturne,13,774,166,"['sand-veil', 'water-absorb']","['grass', 'dark']",70,115,60,115,60,55
Swablu,4,12,62,"['natural-cure', 'cloud-nine']","['normal', 'flying']",45,40,60,40,75,50
Altaria,11,206,172,"['natural-cure', 'cloud-nine']","['dragon', 'flying']",75,70,90,70,105,80
Zangoose,13,403,160,"['immunity', 'toxic-boost']",['normal'],73,115,60,60,60,90
Seviper,27,525,160,"['shed-skin', 'infiltrator']",['poison'],73,100,60,100,60,65
Lunatone,10,1680,161,['levitate'],"['rock', 'psychic']",90,55,65,95,85,70
Solrock,12,1540,161,['levitate'],"['rock', 'psychic']",90,95,85,55,65,70
Barboach,4,19,58,"['oblivious', 'anticipation', 'hydration']","['water', 'ground']",50,48,43,46,41,60
Whiscash,9,236,164,"['oblivious', 'anticipation', 'hydration']","['water', 'ground']",110,78,73,76,71,60
Corphish,6,115,62,"['hyper-cutter', 'shell-armor', 'adaptability']",['water'],43,80,65,50,35,35
Crawdaunt,11,328,164,"['hyper-cutter', 'shell-armor', 'adaptability']","['water', 'dark']",63,120,85,90,55,55
Baltoy,5,215,60,['levitate'],"['ground', 'psychic']",40,40,55,40,70,55
Claydol,15,1080,175,['levitate'],"['ground', 'psychic']",60,70,105,70,120,75
Lileep,10,238,71,"['suction-cups', 'storm-drain']","['rock', 'grass']",66,41,77,61,87,23
Cradily,15,604,173,"['suction-cups', 'storm-drain']","['rock', 'grass']",86,81,97,81,107,43
Anorith,7,125,71,"['battle-armor', 'swift-swim']","['rock', 'bug']",45,95,50,40,50,75
Armaldo,15,682,173,"['battle-armor', 'swift-swim']","['rock', 'bug']",75,125,100,70,80,45
Feebas,6,74,40,"['swift-swim', 'oblivious', 'adaptability']",['water'],20,15,20,10,55,80
Milotic,62,1620,189,"['marvel-scale', 'competitive', 'cute-charm']",['water'],95,60,79,100,125,81
Castform,3,8,147,['forecast'],['normal'],70,70,70,70,70,70
Kecleon,10,220,154,"['color-change', 'protean']",['normal'],60,90,70,60,120,40
Shuppet,6,23,59,"['insomnia', 'frisk', 'cursed-body']",['ghost'],44,75,35,63,33,45
Banette,11,125,159,"['insomnia', 'frisk', 'cursed-body']",['ghost'],64,115,65,83,63,65
Duskull,8,150,59,"['levitate', 'frisk']",['ghost'],20,40,90,30,90,25
Dusclops,16,306,159,"['pressure', 'frisk']",['ghost'],40,70,130,60,130,25
Tropius,20,1000,161,"['chlorophyll', 'solar-power', 'harvest']","['grass', 'flying']",99,68,83,72,87,51
Chimecho,6,10,159,['levitate'],['psychic'],75,50,80,95,90,65
Absol,12,470,163,"['pressure', 'super-luck', 'justified']",['dark'],65,130,60,75,60,75
Wynaut,6,140,52,"['shadow-tag', 'telepathy']",['psychic'],95,23,48,23,48,23
Snorunt,7,168,60,"['inner-focus', 'ice-body', 'moody']",['ice'],50,50,50,50,50,50
Glalie,15,2565,168,"['inner-focus', 'ice-body', 'moody']",['ice'],80,80,80,80,80,80
Spheal,8,395,58,"['thick-fat', 'ice-body', 'oblivious']","['ice', 'water']",70,40,50,55,50,25
Sealeo,11,876,144,"['thick-fat', 'ice-body', 'oblivious']","['ice', 'water']",90,60,70,75,70,45
Walrein,14,1506,239,"['thick-fat', 'ice-body', 'oblivious']","['ice', 'water']",110,80,90,95,90,65
Clamperl,4,525,69,"['shell-armor', 'rattled']",['water'],35,64,85,74,55,32
Huntail,17,270,170,"['swift-swim', 'water-veil']",['water'],55,104,105,94,75,52
Gorebyss,18,226,170,"['swift-swim', 'hydration']",['water'],55,84,105,114,75,52
Relicanth,10,234,170,"['swift-swim', 'rock-head', 'sturdy']","['water', 'rock']",100,90,130,45,65,55
Luvdisc,6,87,116,"['swift-swim', 'hydration']",['water'],43,30,55,40,65,97
Bagon,6,421,60,"['rock-head', 'sheer-force']",['dragon'],45,75,60,40,30,50
Shelgon,11,1105,147,"['rock-head', 'overcoat']",['dragon'],65,95,100,60,50,50
Salamence,15,1026,270,"['intimidate', 'moxie']","['dragon', 'flying']",95,135,80,110,80,100
Beldum,6,952,60,"['clear-body', 'light-metal']","['steel', 'psychic']",40,55,80,35,60,30
Metang,12,2025,147,"['clear-body', 'light-metal']","['steel', 'psychic']",60,75,100,55,80,50
Metagross,16,5500,270,"['clear-body', 'light-metal']","['steel', 'psychic']",80,135,130,95,90,70
Regirock,17,2300,261,"['clear-body', 'sturdy']",['rock'],80,100,200,50,100,50
Regice,18,1750,261,"['clear-body', 'ice-body']",['ice'],80,50,100,100,200,50
Registeel,19,2050,261,"['clear-body', 'light-metal']",['steel'],80,75,150,75,150,50
Latias,14,400,270,['levitate'],"['dragon', 'psychic']",80,80,90,110,130,110
Latios,20,600,270,['levitate'],"['dragon', 'psychic']",80,90,80,130,110,110
Kyogre,45,3520,302,['drizzle'],['water'],100,100,90,150,140,90
Groudon,35,9500,302,['drought'],['ground'],100,150,140,100,90,90
Rayquaza,70,2065,306,['air-lock'],"['dragon', 'flying']",105,150,90,150,90,95
Jirachi,3,11,270,['serene-grace'],"['steel', 'psychic']",100,100,100,100,100,100
Deoxys-Normal,17,608,270,['pressure'],['psychic'],50,150,50,150,50,150
Turtwig,4,102,64,"['overgrow', 'shell-armor']",['grass'],55,68,64,45,55,31
Grotle,11,970,142,"['overgrow', 'shell-armor']",['grass'],75,89,85,55,65,36
Torterra,22,3100,236,"['overgrow', 'shell-armor']","['grass', 'ground']",95,109,105,75,85,56
Chimchar,5,62,62,"['blaze', 'iron-fist']",['fire'],44,58,44,58,44,61
Monferno,9,220,142,"['blaze', 'iron-fist']","['fire', 'fighting']",64,78,52,78,52,81
Infernape,12,550,240,"['blaze', 'iron-fist']","['fire', 'fighting']",76,104,71,104,71,108
Piplup,4,52,63,"['torrent', 'competitive']",['water'],53,51,53,61,56,40
Prinplup,8,230,142,"['torrent', 'competitive']",['water'],64,66,68,81,76,50
Empoleon,17,845,239,"['torrent', 'competitive']","['water', 'steel']",84,86,88,111,101,60
Starly,3,20,49,"['keen-eye', 'reckless']","['normal', 'flying']",40,55,30,30,30,60
Staravia,6,155,119,"['intimidate', 'reckless']","['normal', 'flying']",55,75,50,40,40,80
Staraptor,12,249,218,"['intimidate', 'reckless']","['normal', 'flying']",85,120,70,50,60,100
Bidoof,5,200,50,"['simple', 'unaware', 'moody']",['normal'],59,45,40,35,40,31
Bibarel,10,315,144,"['simple', 'unaware', 'moody']","['normal', 'water']",79,85,60,55,60,71
Kricketot,3,22,39,"['shed-skin', 'run-away']",['bug'],37,25,41,25,41,25
Kricketune,10,255,134,"['swarm', 'technician']",['bug'],77,85,51,55,51,65
Shinx,5,95,53,"['rivalry', 'intimidate', 'guts']",['electric'],45,65,34,40,34,45
Luxio,9,305,127,"['rivalry', 'intimidate', 'guts']",['electric'],60,85,49,60,49,60
Luxray,14,420,235,"['rivalry', 'intimidate', 'guts']",['electric'],80,120,79,95,79,70
Budew,2,12,56,"['natural-cure', 'poison-point', 'leaf-guard']","['grass', 'poison']",40,30,35,50,70,55
Roserade,9,145,232,"['natural-cure', 'poison-point', 'technician']","['grass', 'poison']",60,70,65,125,105,90
Cranidos,9,315,70,"['mold-breaker', 'sheer-force']",['rock'],67,125,40,30,30,58
Rampardos,16,1025,173,"['mold-breaker', 'sheer-force']",['rock'],97,165,60,65,50,58
Shieldon,5,570,70,"['sturdy', 'soundproof']","['rock', 'steel']",30,42,118,42,88,30
Bastiodon,13,1495,173,"['sturdy', 'soundproof']","['rock', 'steel']",60,52,168,47,138,30
Burmy,2,34,45,"['shed-skin', 'overcoat']",['bug'],40,29,45,29,45,36
Wormadam-Plant,5,65,148,"['anticipation', 'overcoat']","['bug', 'grass']",60,59,85,79,105,36
Mothim,9,233,148,"['swarm', 'tinted-lens']","['bug', 'flying']",70,94,50,94,50,66
Combee,3,55,49,"['honey-gather', 'hustle']","['bug', 'flying']",30,30,42,30,42,70
Vespiquen,12,385,166,"['pressure', 'unnerve']","['bug', 'flying']",70,80,102,80,102,40
Pachirisu,4,39,142,"['run-away', 'pickup', 'volt-absorb']",['electric'],60,45,70,45,90,95
Buizel,7,295,66,"['swift-swim', 'water-veil']",['water'],55,65,35,60,30,85
Floatzel,11,335,173,"['swift-swim', 'water-veil']",['water'],85,105,55,85,50,115
Cherubi,4,33,55,['chlorophyll'],['grass'],45,35,45,62,53,35
Cherrim,5,93,158,['flower-gift'],['grass'],70,60,70,87,78,85
Shellos,3,63,65,"['sticky-hold', 'storm-drain', 'sand-force']",['water'],76,48,48,57,62,34
Gastrodon,9,299,166,"['sticky-hold', 'storm-drain', 'sand-force']","['water', 'ground']",111,83,68,92,82,39
Ambipom,12,203,169,"['technician', 'pickup', 'skill-link']",['normal'],75,100,66,60,66,115
Drifloon,4,12,70,"['aftermath', 'unburden', 'flare-boost']","['ghost', 'flying']",90,50,34,60,44,70
Drifblim,12,150,174,"['aftermath', 'unburden', 'flare-boost']","['ghost', 'flying']",150,80,44,90,54,80
Buneary,4,55,70,"['run-away', 'klutz', 'limber']",['normal'],55,66,44,44,56,85
Lopunny,12,333,168,"['cute-charm', 'klutz', 'limber']",['normal'],65,76,84,54,96,105
Mismagius,9,44,173,['levitate'],['ghost'],60,60,60,105,105,105
Honchkrow,9,273,177,"['insomnia', 'super-luck', 'moxie']","['dark', 'flying']",100,125,52,105,52,71
Glameow,5,39,62,"['limber', 'own-tempo', 'keen-eye']",['normal'],49,55,42,42,37,85
Purugly,10,438,158,"['thick-fat', 'own-tempo', 'defiant']",['normal'],71,82,64,64,59,112
Chingling,2,6,57,['levitate'],['psychic'],45,30,50,65,50,45
Stunky,4,192,66,"['stench', 'aftermath', 'keen-eye']","['poison', 'dark']",63,63,47,41,41,74
Skuntank,10,380,168,"['stench', 'aftermath', 'keen-eye']","['poison', 'dark']",103,93,67,71,61,84
Bronzor,5,605,60,"['levitate', 'heatproof', 'heavy-metal']","['steel', 'psychic']",57,24,86,24,86,23
Bronzong,13,1870,175,"['levitate', 'heatproof', 'heavy-metal']","['steel', 'psychic']",67,89,116,79,116,33
Bonsly,5,150,58,"['sturdy', 'rock-head', 'rattled']",['rock'],50,80,95,10,45,10
Mime-Jr,6,130,62,"['soundproof', 'filter', 'technician']","['psychic', 'fairy']",20,25,45,70,90,60
Happiny,6,244,110,"['natural-cure', 'serene-grace', 'friend-guard']",['normal'],100,5,5,15,65,30
Chatot,5,19,144,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",76,65,45,92,42,91
Spiritomb,10,1080,170,"['pressure', 'infiltrator']","['ghost', 'dark']",50,92,108,92,108,35
Gible,7,205,60,"['sand-veil', 'rough-skin']","['dragon', 'ground']",58,70,45,40,45,42
Gabite,14,560,144,"['sand-veil', 'rough-skin']","['dragon', 'ground']",68,90,65,50,55,82
Garchomp,19,950,270,"['sand-veil', 'rough-skin']","['dragon', 'ground']",108,130,95,80,85,102
Munchlax,6,1050,78,"['pickup', 'thick-fat', 'gluttony']",['normal'],135,85,40,40,85,5
Riolu,7,202,57,"['steadfast', 'inner-focus', 'prankster']",['fighting'],40,70,40,35,40,60
Lucario,12,540,184,"['steadfast', 'inner-focus', 'justified']","['fighting', 'steel']",70,110,70,115,70,90
Hippopotas,8,495,66,"['sand-stream', 'sand-force']",['ground'],68,72,78,38,42,32
Hippowdon,20,3000,184,"['sand-stream', 'sand-force']",['ground'],108,112,118,68,72,47
Skorupi,8,120,66,"['battle-armor', 'sniper', 'keen-eye']","['poison', 'bug']",40,50,90,30,55,65
Drapion,13,615,175,"['battle-armor', 'sniper', 'keen-eye']","['poison', 'dark']",70,90,110,60,75,95
Croagunk,7,230,60,"['anticipation', 'dry-skin', 'poison-touch']","['poison', 'fighting']",48,61,40,61,40,50
Toxicroak,13,444,172,"['anticipation', 'dry-skin', 'poison-touch']","['poison', 'fighting']",83,106,65,86,65,85
Carnivine,14,270,159,['levitate'],['grass'],74,100,72,90,72,46
Finneon,4,70,66,"['swift-swim', 'storm-drain', 'water-veil']",['water'],49,49,56,49,61,66
Lumineon,12,240,161,"['swift-swim', 'storm-drain', 'water-veil']",['water'],69,69,76,69,86,91
Mantyke,10,650,69,"['swift-swim', 'water-absorb', 'water-veil']","['water', 'flying']",45,20,50,60,120,50
Snover,10,505,67,"['snow-warning', 'soundproof']","['grass', 'ice']",60,62,50,62,60,40
Abomasnow,22,1355,173,"['snow-warning', 'soundproof']","['grass', 'ice']",90,92,75,92,85,60
Weavile,11,340,179,"['pressure', 'pickpocket']","['dark', 'ice']",70,120,65,45,85,125
Magnezone,12,1800,241,"['magnet-pull', 'sturdy', 'analytic']","['electric', 'steel']",70,70,115,130,90,60
Lickilicky,17,1400,180,"['own-tempo', 'oblivious', 'cloud-nine']",['normal'],110,85,95,80,95,50
Rhyperior,24,2828,241,"['lightning-rod', 'solid-rock', 'reckless']","['ground', 'rock']",115,140,130,55,55,40
Tangrowth,20,1286,187,"['chlorophyll', 'leaf-guard', 'regenerator']",['grass'],100,100,125,110,50,50
Electivire,18,1386,243,"['motor-drive', 'vital-spirit']",['electric'],75,123,67,95,85,95
Magmortar,16,680,243,"['flame-body', 'vital-spirit']",['fire'],75,95,67,125,95,83
Togekiss,15,380,245,"['hustle', 'serene-grace', 'super-luck']","['fairy', 'flying']",85,50,95,120,115,80
Yanmega,19,515,180,"['speed-boost', 'tinted-lens', 'frisk']","['bug', 'flying']",86,76,86,116,56,95
Leafeon,10,255,184,"['leaf-guard', 'chlorophyll']",['grass'],65,110,130,60,65,95
Glaceon,8,259,184,"['snow-cloak', 'ice-body']",['ice'],65,60,110,130,95,65
Gliscor,20,425,179,"['hyper-cutter', 'sand-veil', 'poison-heal']","['ground', 'flying']",75,95,125,45,75,95
Mamoswine,25,2910,239,"['oblivious', 'snow-cloak', 'thick-fat']","['ice', 'ground']",110,130,80,70,60,80
Porygon-Z,9,340,241,"['adaptability', 'download', 'analytic']",['normal'],85,80,70,135,75,90
Gallade,16,520,233,"['steadfast', 'sharpness', 'justified']","['psychic', 'fighting']",68,125,65,65,115,80
Probopass,14,3400,184,"['sturdy', 'magnet-pull', 'sand-force']","['rock', 'steel']",60,55,145,75,150,40
Dusknoir,22,1066,236,"['pressure', 'frisk']",['ghost'],45,100,135,65,135,45
Froslass,13,266,168,"['snow-cloak', 'cursed-body']","['ice', 'ghost']",70,80,70,80,70,110
Rotom,3,3,154,['levitate'],"['electric', 'ghost']",50,50,77,95,77,91
Uxie,3,3,261,['levitate'],['psychic'],75,75,130,75,130,95
Mesprit,3,3,261,['levitate'],['psychic'],80,105,105,105,105,80
Azelf,3,3,261,['levitate'],['psychic'],75,125,70,125,70,115
Dialga,54,6830,306,"['pressure', 'telepathy']","['steel', 'dragon']",100,120,120,150,100,90
Palkia,42,3360,306,"['pressure', 'telepathy']","['water', 'dragon']",90,120,100,150,120,100
Heatran,17,4300,270,"['flash-fire', 'flame-body']","['fire', 'steel']",91,90,106,130,106,77
Regigigas,37,4200,302,['slow-start'],['normal'],110,160,110,80,110,100
Giratina-Altered,45,7500,306,"['pressure', 'telepathy']","['ghost', 'dragon']",150,100,120,100,120,90
Cresselia,15,856,270,['levitate'],['psychic'],120,70,110,75,120,85
Phione,4,31,216,['hydration'],['water'],80,80,80,80,80,80
Manaphy,3,14,270,['hydration'],['water'],100,100,100,100,100,100
Darkrai,15,505,270,['bad-dreams'],['dark'],70,90,90,135,90,125
Shaymin-Land,2,21,270,['natural-cure'],['grass'],100,100,100,100,100,100
Arceus,32,3200,324,['multitype'],['normal'],120,120,120,120,120,120
Victini,4,40,270,['victory-star'],"['psychic', 'fire']",100,100,100,100,100,100
Snivy,6,81,62,"['overgrow', 'contrary']",['grass'],45,45,55,45,55,63
Servine,8,160,145,"['overgrow', 'contrary']",['grass'],60,60,75,60,75,83
Serperior,33,630,238,"['overgrow', 'contrary']",['grass'],75,75,95,75,95,113
Tepig,5,99,62,"['blaze', 'thick-fat']",['fire'],65,63,45,45,45,45
Pignite,10,555,146,"['blaze', 'thick-fat']","['fire', 'fighting']",90,93,55,70,55,55
Emboar,16,1500,238,"['blaze', 'reckless']","['fire', 'fighting']",110,123,65,100,65,65
Oshawott,5,59,62,"['torrent', 'shell-armor']",['water'],55,55,45,63,45,45
Dewott,8,245,145,"['torrent', 'shell-armor']",['water'],75,75,60,83,60,60
Samurott,15,946,238,"['torrent', 'shell-armor']",['water'],95,100,85,108,70,70
Patrat,5,116,51,"['run-away', 'keen-eye', 'analytic']",['normal'],45,55,39,35,39,42
Watchog,11,270,147,"['illuminate', 'keen-eye', 'analytic']",['normal'],60,85,69,60,69,77
Lillipup,4,41,55,"['vital-spirit', 'pickup', 'run-away']",['normal'],45,60,45,25,45,55
Herdier,9,147,130,"['intimidate', 'sand-rush', 'scrappy']",['normal'],65,80,65,35,65,60
Stoutland,12,610,225,"['intimidate', 'sand-rush', 'scrappy']",['normal'],85,110,90,45,90,80
Purrloin,4,101,56,"['limber', 'unburden', 'prankster']",['dark'],41,50,37,50,37,66
Liepard,11,375,156,"['limber', 'unburden', 'prankster']",['dark'],64,88,50,88,50,106
Pansage,6,105,63,"['gluttony', 'overgrow']",['grass'],50,53,48,53,48,64
Simisage,11,305,174,"['gluttony', 'overgrow']",['grass'],75,98,63,98,63,101
Pansear,6,110,63,"['gluttony', 'blaze']",['fire'],50,53,48,53,48,64
Simisear,10,280,174,"['gluttony', 'blaze']",['fire'],75,98,63,98,63,101
Panpour,6,135,63,"['gluttony', 'torrent']",['water'],50,53,48,53,48,64
Simipour,10,290,174,"['gluttony', 'torrent']",['water'],75,98,63,98,63,101
Munna,6,233,58,"['forewarn', 'synchronize', 'telepathy']",['psychic'],76,25,45,67,55,24
Musharna,11,605,170,"['forewarn', 'synchronize', 'telepathy']",['psychic'],116,55,85,107,95,29
Pidove,3,21,53,"['big-pecks', 'super-luck', 'rivalry']","['normal', 'flying']",50,55,50,36,30,43
Tranquill,6,150,125,"['big-pecks', 'super-luck', 'rivalry']","['normal', 'flying']",62,77,62,50,42,65
Unfezant,12,290,220,"['big-pecks', 'super-luck', 'rivalry']","['normal', 'flying']",80,115,80,65,55,93
Blitzle,8,298,59,"['lightning-rod', 'motor-drive', 'sap-sipper']",['electric'],45,60,32,50,32,76
Zebstrika,16,795,174,"['lightning-rod', 'motor-drive', 'sap-sipper']",['electric'],75,100,63,80,63,116
Roggenrola,4,180,56,"['sturdy', 'weak-armor', 'sand-force']",['rock'],55,75,85,25,25,15
Boldore,9,1020,137,"['sturdy', 'weak-armor', 'sand-force']",['rock'],70,105,105,50,40,20
Gigalith,17,2600,232,"['sturdy', 'sand-stream', 'sand-force']",['rock'],85,135,130,60,80,25
Woobat,4,21,65,"['unaware', 'klutz', 'simple']","['psychic', 'flying']",65,45,43,55,43,72
Swoobat,9,105,149,"['unaware', 'klutz', 'simple']","['psychic', 'flying']",67,57,55,77,55,114
Drilbur,3,85,66,"['sand-rush', 'sand-force', 'mold-breaker']",['ground'],60,85,40,30,45,68
Excadrill,7,404,178,"['sand-rush', 'sand-force', 'mold-breaker']","['ground', 'steel']",110,135,60,50,65,88
Audino,11,310,390,"['healer', 'regenerator', 'klutz']",['normal'],103,60,86,60,86,50
Timburr,6,125,61,"['guts', 'sheer-force', 'iron-fist']",['fighting'],75,80,55,25,35,35
Gurdurr,12,400,142,"['guts', 'sheer-force', 'iron-fist']",['fighting'],85,105,85,40,50,40
Conkeldurr,14,870,227,"['guts', 'sheer-force', 'iron-fist']",['fighting'],105,140,95,55,65,45
Tympole,5,45,59,"['swift-swim', 'hydration', 'water-absorb']",['water'],50,50,40,50,40,64
Palpitoad,8,170,134,"['swift-swim', 'hydration', 'water-absorb']","['water', 'ground']",75,65,55,65,55,69
Seismitoad,15,620,229,"['swift-swim', 'poison-touch', 'water-absorb']","['water', 'ground']",105,95,75,85,75,74
Throh,13,555,163,"['guts', 'inner-focus', 'mold-breaker']",['fighting'],120,100,85,30,85,45
Sawk,14,510,163,"['sturdy', 'inner-focus', 'mold-breaker']",['fighting'],75,125,75,30,75,85
Sewaddle,3,25,62,"['swarm', 'chlorophyll', 'overcoat']","['bug', 'grass']",45,53,70,40,60,42
Swadloon,5,73,133,"['leaf-guard', 'chlorophyll', 'overcoat']","['bug', 'grass']",55,63,90,50,80,42
Leavanny,12,205,225,"['swarm', 'chlorophyll', 'overcoat']","['bug', 'grass']",75,103,80,70,80,92
Venipede,4,53,52,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",30,45,59,30,39,57
Whirlipede,12,585,126,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",40,55,99,40,79,47
Scolipede,25,2005,218,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",60,100,89,55,69,112
Cottonee,3,6,56,"['prankster', 'infiltrator', 'chlorophyll']","['grass', 'fairy']",40,27,60,37,50,66
Whimsicott,7,66,168,"['prankster', 'infiltrator', 'chlorophyll']","['grass', 'fairy']",60,67,85,77,75,116
Petilil,5,66,56,"['chlorophyll', 'own-tempo', 'leaf-guard']",['grass'],45,35,50,70,50,30
Lilligant,11,163,168,"['chlorophyll', 'own-tempo', 'leaf-guard']",['grass'],70,60,75,110,75,90
Basculin-Red-Striped,10,180,161,"['reckless', 'adaptability', 'mold-breaker']",['water'],70,92,65,80,55,98
Sandile,7,152,58,"['intimidate', 'moxie', 'anger-point']","['ground', 'dark']",50,72,35,35,35,65
Krokorok,10,334,123,"['intimidate', 'moxie', 'anger-point']","['ground', 'dark']",60,82,45,45,45,74
Krookodile,15,963,234,"['intimidate', 'moxie', 'anger-point']","['ground', 'dark']",95,117,80,65,70,92
Darumaka,6,375,63,"['hustle', 'inner-focus']",['fire'],70,90,45,15,45,50
Darmanitan-Standard,13,929,168,"['sheer-force', 'zen-mode']",['fire'],105,140,55,30,55,95
Maractus,10,280,161,"['water-absorb', 'chlorophyll', 'storm-drain']",['grass'],75,86,67,106,67,60
